values,compile_time,compile_memory,simulate_time,simulate_memory
2,0.03,34120,0.16,4396
4,0.05,34120,0.2,4400
8,0.03,34344,0.28,4424
16,0.03,34352,0.43,4476
32,0.03,34604,0.66,4576
64,0.04,34868,1.38,4784
128,0.04,35512,2.86,5244
256,0.1,36944,5.67,6188
512,0.11,39792,11.32,8056
1024,0.16,45504,22.54,11652
