values,compile_time,compile_memory,simulate_time,simulate_memory
2,0.02,23800,22.0,5594052
4,0.03,21852,22.0,5594088
8,0.03,21844,22.0,5594164
16,0.02,21852,21.0,5594312
32,0.02,21848,21.0,5594736
64,0.04,21844,22.0,5595392
128,0.03,21840,25.0,5597140
256,0.03,23820,23.0,5600256
512,0.03,21852,22.0,5606880
1024,0.03,23888,22.0,5619992
