values,compile_time,compile_memory,simulate_time,simulate_memory
10000,0.02,21836,1.0,184460
20000,0.02,21840,2.0,241900
40000,0.02,21840,2.0,352180
80000,0.02,21856,2.0,575348
160000,0.02,21848,3.0,1021188
320000,0.02,21836,6.0,1911596
640000,0.02,23816,12.0,3696064
1280000,0.02,21840,24.0,7261308
2560000,0.02,21844,45.0,14392376
5120000,0.02,21852,,15399612
