values,compile_time,compile_memory,simulate_time,simulate_memory
8,0.03,21836,1.0,43676
16,0.02,21852,1.0,64376
32,0.02,21852,1.0,105336
64,0.02,21836,1.0,187244
128,0.02,21840,1.0,351768
256,0.02,21844,2.0,678460
512,0.02,21840,4.0,1340132
1024,0.02,21840,8.0,2645040
2048,0.02,21852,16.0,5248236
4096,0.02,21848,33.0,10472412
