values,compile_time,compile_memory,simulate_time,simulate_memory
10000,1.29,61540,0.96,34020
20000,1.39,61540,1.73,34012
40000,1.34,61540,3.32,34012
80000,1.39,61540,6.32,34012
160000,1.42,61540,12.57,34036
320000,1.41,61540,24.63,34040
640000,1.55,68392,50.29,34040
1280000,1.6,88512,101.85,34036
2560000,1.73,128396,205.9,34028
5120000,1.99,208532,416.21,34036
