values,compile_time,compile_memory,simulate_time,simulate_memory
16,0.02,21852,17.0,5595024
32,0.02,21848,17.0,5595120
64,0.02,21852,17.0,5597132
128,0.02,21844,18.0,5597292
256,0.02,21840,17.0,5601288
512,0.02,21844,17.0,5607528
1024,0.02,21848,30.0,5621680
2048,0.02,21844,20.0,5648440
4096,0.02,21848,19.0,5701600
