values,compile_time,compile_memory,simulate_time,simulate_memory
100000,0.04,21844,4.0,582164
500000,0.02,21840,16.0,2810908
2500000,0.02,21844,70.0,13953388
12500000,0.03,21844,,15123952
62500000,0.04,21848,0.0,54888
