values,compile_time,compile_memory,simulate_time,simulate_memory
8,0.04,19964,1.0,139068
16,0.06,21848,2.0,283048
32,0.03,21844,3.0,571164
64,0.03,21852,5.0,1149912
128,0.03,21840,15.0,2304020
256,0.04,21848,15.0,4611648
512,0.02,21848,31.0,9219228
1024,0.02,21844,121.0,15448444
2048,0.07,21848,,15546560
4096,0.12,21840,,15506196
