values,compile_time,compile_memory,simulate_time,simulate_memory
8,0.09,18112,0.65,11688
16,0.08,18144,0.7,11700
32,0.09,18236,0.84,11688
64,0.09,18428,1.09,11680
128,0.09,18740,1.66,12040
256,0.09,19392,2.63,12268
512,0.1,20640,4.59,12704
1024,0.11,23208,7.28,13612
2048,0.13,28312,13.67,15392
4096,0.16,38548,26.16,18984
