values,compile_time,compile_memory,simulate_time,simulate_memory
8,0.03,6492,0.22,4604
16,0.02,6492,0.23,4604
32,0.02,6488,0.24,4616
64,0.02,6488,0.34,4604
128,0.02,6496,0.51,4620
256,0.01,6356,0.84,4624
512,0.01,6488,1.45,4636
1024,0.0,6620,2.62,4664
2048,0.01,6632,4.92,4728
4096,0.05,7008,8.0,4836
