values,compile_time,compile_memory,simulate_time,simulate_memory
100000,0.01,6748,0.12,4788
500000,0.01,19244,0.54,4788
2500000,0.04,81744,2.72,4792
12500000,0.14,394244,13.42,4788
62500000,0.29,3012,13.47,4792
